trade_date,start_close,natural_days_to_5pct_high_low_move,breach_date,breach_side,breach_high,breach_low,upper_bound,lower_bound
2016-09-09,8872.31,95,2016-12-12,down,8879.45,8391.03,9315.93,8428.69
2016-09-12,8587.40,44,2016-10-25,up,9039.95,9001.11,9016.77,8158.03
2016-09-13,8656.68,60,2016-11-11,up,9121.61,9064.25,9089.51,8223.85
2016-09-14,8618.15,51,2016-11-03,up,9055.51,8914.68,9049.06,8187.24
2016-09-19,8716.49,57,2016-11-14,up,9162.30,9093.46,9152.31,8280.67
2016-09-20,8712.28,56,2016-11-14,up,9162.30,9093.46,9147.89,8276.67
2016-09-21,8732.00,56,2016-11-15,up,9198.24,9123.28,9168.60,8295.40
2016-09-22,8770.09,56,2016-11-16,up,9236.68,9202.18,9208.59,8331.59
2016-09-23,8729.61,54,2016-11-15,up,9198.24,9123.28,9166.09,8293.13
2016-09-26,8544.18,24,2016-10-19,up,8992.07,8926.89,8971.39,8116.97
2016-09-27,8604.10,29,2016-10-25,up,9039.95,9001.11,9034.31,8173.89
2016-09-28,8592.13,28,2016-10-25,up,9039.95,9001.11,9021.74,8162.52
2016-09-29,8618.61,36,2016-11-03,up,9055.51,8914.68,9049.54,8187.68
2016-09-30,8661.02,43,2016-11-11,up,9121.61,9064.25,9094.07,8227.97
2016-10-10,8842.82,64,2016-12-12,down,8879.45,8391.03,9284.96,8400.68
2016-10-11,8903.46,63,2016-12-12,down,8879.45,8391.03,9348.63,8458.29
2016-10-12,8915.44,62,2016-12-12,down,8879.45,8391.03,9361.21,8469.67
2016-10-13,8929.51,61,2016-12-12,down,8879.45,8391.03,9375.99,8483.03
2016-10-14,8913.70,60,2016-12-12,down,8879.45,8391.03,9359.39,8468.01
2016-10-17,8832.09,58,2016-12-13,down,8458.32,8299.28,9273.69,8390.49
2016-10-18,8966.69,56,2016-12-12,down,8879.45,8391.03,9415.02,8518.36
2016-10-19,8954.20,55,2016-12-12,down,8879.45,8391.03,9401.91,8506.49
2016-10-20,8995.41,54,2016-12-12,down,8879.45,8391.03,9445.18,8545.64
2016-10-21,8943.01,53,2016-12-12,down,8879.45,8391.03,9390.16,8495.86
2016-10-24,9000.70,50,2016-12-12,down,8879.45,8391.03,9450.74,8550.67
2016-10-25,9039.48,49,2016-12-12,down,8879.45,8391.03,9491.45,8587.51
2016-10-26,9000.76,48,2016-12-12,down,8879.45,8391.03,9450.80,8550.72
2016-10-27,8997.02,47,2016-12-12,down,8879.45,8391.03,9446.87,8547.17
2016-10-28,8914.62,46,2016-12-12,down,8879.45,8391.03,9360.35,8468.89
2016-10-31,8910.51,43,2016-12-12,down,8879.45,8391.03,9356.04,8464.98
2016-11-01,9006.79,42,2016-12-12,down,8879.45,8391.03,9457.13,8556.45
2016-11-02,8946.74,41,2016-12-12,down,8879.45,8391.03,9394.08,8499.40
2016-11-03,9004.85,40,2016-12-12,down,8879.45,8391.03,9455.09,8554.61
2016-11-04,8979.93,39,2016-12-12,down,8879.45,8391.03,9428.93,8530.93
2016-11-07,8975.57,36,2016-12-12,down,8879.45,8391.03,9424.35,8526.79
2016-11-08,9030.73,35,2016-12-12,down,8879.45,8391.03,9482.27,8579.19
2016-11-09,8967.60,34,2016-12-12,down,8879.45,8391.03,9415.98,8519.22
2016-11-10,9083.84,33,2016-12-12,down,8879.45,8391.03,9538.03,8629.65
2016-11-11,9121.51,32,2016-12-12,down,8879.45,8391.03,9577.59,8665.43
2016-11-14,9152.17,29,2016-12-12,down,8879.45,8391.03,9609.78,8694.56
2016-11-15,9197.86,28,2016-12-12,down,8879.45,8391.03,9657.75,8737.97
2016-11-16,9211.95,27,2016-12-12,down,8879.45,8391.03,9672.55,8751.35
2016-11-17,9174.44,26,2016-12-12,down,8879.45,8391.03,9633.16,8715.72
2016-11-18,9146.21,25,2016-12-12,down,8879.45,8391.03,9603.52,8688.90
2016-11-21,9167.49,22,2016-12-12,down,8879.45,8391.03,9625.86,8709.12
2016-11-22,9244.21,21,2016-12-12,down,8879.45,8391.03,9706.42,8782.00
2016-11-23,9180.01,20,2016-12-12,down,8879.45,8391.03,9639.01,8721.01
2016-11-24,9116.57,19,2016-12-12,down,8879.45,8391.03,9572.40,8660.74
2016-11-25,9134.82,18,2016-12-12,down,8879.45,8391.03,9591.56,8678.08
2016-11-28,9133.91,15,2016-12-12,down,8879.45,8391.03,9590.61,8677.21
2016-11-29,9031.29,14,2016-12-12,down,8879.45,8391.03,9482.85,8579.73
2016-11-30,9014.91,13,2016-12-12,down,8879.45,8391.03,9465.66,8564.16
2016-12-01,9055.99,12,2016-12-12,down,8879.45,8391.03,9508.79,8603.19
2016-12-02,8900.41,11,2016-12-12,down,8879.45,8391.03,9345.43,8455.39
2016-12-05,8851.52,8,2016-12-12,down,8879.45,8391.03,9294.10,8408.94
2016-12-06,8871.73,7,2016-12-12,down,8879.45,8391.03,9315.32,8428.14
2016-12-07,8969.14,6,2016-12-12,down,8879.45,8391.03,9417.60,8520.68
2016-12-08,8914.51,5,2016-12-12,down,8879.45,8391.03,9360.24,8468.78
2016-12-09,8881.34,4,2016-12-12,down,8879.45,8391.03,9325.41,8437.27
2016-12-12,8397.48,36,2017-01-16,down,8263.98,7715.43,8817.35,7977.61
2016-12-13,8433.59,35,2017-01-16,down,8263.98,7715.43,8855.27,8011.91
2016-12-14,8378.06,34,2017-01-16,down,8263.98,7715.43,8796.96,7959.16
2016-12-15,8467.71,33,2017-01-16,down,8263.98,7715.43,8891.10,8044.32
2016-12-16,8559.99,32,2017-01-16,down,8263.98,7715.43,8987.99,8131.99
2016-12-19,8551.33,29,2017-01-16,down,8263.98,7715.43,8978.90,8123.76
2016-12-20,8546.19,28,2017-01-16,down,8263.98,7715.43,8973.50,8118.88
2016-12-21,8609.41,27,2017-01-16,down,8263.98,7715.43,9039.88,8178.94
