日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2017-04-05,09:30:00,股票,晓程科技(300139.XSHE),卖,市价单,-83700股,12.8,-1071360,-83700股,-,-51894,1392.77,全部成交,2017-04-05 09:30:00
2017-04-05,09:30:00,股票,兰州民百(600738.XSHG),买,市价单,125500股,9.28,1164640,125500股,-,0,349.39,全部成交,2017-04-05 09:30:00
2017-04-05,09:30:00,股票,金自天正(600560.XSHG),买,市价单,72400股,16,1158400,72400股,-,0,347.52,全部成交,2017-04-05 09:30:00
2017-04-10,09:30:00,股票,金自天正(600560.XSHG),卖,市价单,-72400股,16.73,-1211252,-72400股,-,52852,1574.63,全部成交,2017-04-10 09:30:00
2017-04-10,09:30:00,股票,金花股份(600080.XSHG),买,市价单,107700股,11.24,1210548,107700股,-,0,363.16,全部成交,2017-04-10 09:30:00
2017-04-24,09:30:00,股票,茂硕电源(002660.XSHE),卖,市价单,-93200股,10.96,-1021472,-93200股,-,-219952,1327.91,全部成交,2017-04-24 09:30:00
2017-04-24,09:30:00,股票,兰州民百(600738.XSHG),卖,市价单,-125500股,8.75,-1098125,-125500股,-,-57730,1427.56,全部成交,2017-04-24 09:30:00
2017-04-24,09:30:00,股票,金亚科技(300028.XSHE),买,市价单,122900股,8.66,1064314,122900股,-,0,319.29,全部成交,2017-04-24 09:30:00
2017-04-24,09:30:00,股票,晓程科技(300139.XSHE),买,市价单,93400股,11.34,1059156,93400股,-,0,317.75,全部成交,2017-04-24 09:30:00
2017-05-02,09:30:00,股票,弘业股份(600128.XSHG),卖,市价单,-81100股,11.82,-958602,-81100股,-,-257898,1246.18,全部成交,2017-05-02 09:30:00
2017-05-02,09:30:00,股票,金亚科技(300028.XSHE),卖,市价单,-122900股,8.74,-1074146,-122900股,-,9832,1396.39,全部成交,2017-05-02 09:30:00
2017-05-02,09:30:00,股票,鞍重股份(002667.XSHE),买,市价单,54000股,18.78,1014120,54000股,-,0,304.24,全部成交,2017-05-02 09:30:00
2017-05-02,09:30:00,股票,新农开发(600359.XSHG),买,市价单,129400股,7.86,1017084,129400股,-,0,305.13,全部成交,2017-05-02 09:30:00
2017-05-08,09:30:00,股票,新农开发(600359.XSHG),卖,市价单,-129400股,7.82,-1011908,-129400股,-,-5176,1315.48,全部成交,2017-05-08 09:30:00
2017-05-08,09:30:00,股票,兰州民百(600738.XSHG),买,市价单,122000股,8.28,1010160,122000股,-,0,303.05,全部成交,2017-05-08 09:30:00
2017-05-15,09:30:00,股票,金花股份(600080.XSHG),卖,市价单,-107700股,9.3,-1001610,-107700股,-,-208938,1302.09,全部成交,2017-05-15 09:30:00
2017-05-15,09:30:00,股票,兰州民百(600738.XSHG),卖,市价单,-122000股,7.84,-956480,-122000股,-,-53680,1243.42,全部成交,2017-05-15 09:30:00
2017-05-15,09:30:00,股票,新农开发(600359.XSHG),买,市价单,132200股,7.4,978280,132200股,-,0,293.48,全部成交,2017-05-15 09:30:00
2017-05-15,09:30:00,股票,金自天正(600560.XSHG),买,市价单,76200股,12.78,973836,76200股,-,0,292.15,全部成交,2017-05-15 09:30:00
2017-05-22,09:30:00,股票,光韵达(300227.XSHE),卖,市价单,-50700股,21.6,-1095120,-50700股,-,-170859,1423.66,全部成交,2017-05-22 09:30:00
2017-05-22,09:30:00,股票,金花股份(600080.XSHG),买,市价单,112400股,9.75,1095900,112400股,-,0,328.77,全部成交,2017-05-22 09:30:00
2017-05-31,09:30:00,股票,金花股份(600080.XSHG),卖,市价单,-112400股,9.96,-1119504,-112400股,-,23604,1455.36,全部成交,2017-05-31 09:30:00
2017-05-31,09:30:00,股票,创兴资源(600193.XSHG),买,市价单,161500股,6.93,1119195,161500股,-,0,335.76,全部成交,2017-05-31 09:30:00
2017-06-12,09:30:00,股票,晓程科技(300139.XSHE),卖,市价单,-93400股,10.66,-995644,-93400股,-,-63512,1294.34,全部成交,2017-06-12 09:30:00
2017-06-12,09:30:00,股票,金花股份(600080.XSHG),买,市价单,105800股,9.38,992404,105800股,-,0,297.72,全部成交,2017-06-12 09:30:00
2017-06-19,09:30:00,股票,金自天正(600560.XSHG),卖,市价单,-76200股,12.42,-946404,-76200股,-,-27432,1230.33,全部成交,2017-06-19 09:30:00
2017-06-19,09:30:00,股票,金花股份(600080.XSHG),卖,市价单,-105800股,9.9,-1047420,-105800股,-,55016,1361.65,全部成交,2017-06-19 09:30:00
2017-06-19,09:30:00,股票,明星电力(600101.XSHG),买,市价单,101900股,9.78,996582,101900股,-,0,298.97,全部成交,2017-06-19 09:30:00
2017-06-19,09:30:00,股票,全柴动力(600218.XSHG),买,市价单,112300股,8.85,993855,112300股,-,0,298.16,全部成交,2017-06-19 09:30:00
2017-06-26,09:30:00,股票,全柴动力(600218.XSHG),卖,市价单,-112300股,8.75,-982625,-112300股,-,-2246,1277.41,全部成交,2017-06-26 09:30:00
2017-06-26,09:30:00,股票,共达电声(002655.XSHE),买,市价单,118100股,8.36,987316,118100股,-,0,296.19,全部成交,2017-06-26 09:30:00
2017-07-10,09:30:00,股票,共达电声(002655.XSHE),卖,市价单,-118100股,9.2,-1086520,-118100股,-,99204,1412.48,全部成交,2017-07-10 09:30:00
2017-07-10,09:30:00,股票,光韵达(300227.XSHE),买,市价单,50000股,21.72,1086000,50000股,-,0,325.8,全部成交,2017-07-10 09:30:00
2017-07-17,09:30:00,股票,明星电力(600101.XSHG),卖,市价单,-101900股,9.84,-1002696,-101900股,-,11209,1303.5,全部成交,2017-07-17 09:30:00
2017-07-17,09:30:00,股票,共达电声(002655.XSHE),买,市价单,120000股,8.38,1005600,120000股,-,0,301.68,全部成交,2017-07-17 09:30:00
2017-08-07,09:30:00,股票,共达电声(002655.XSHE),卖,市价单,-120000股,9.16,-1099200,-120000股,-,93600,1428.96,全部成交,2017-08-07 09:30:00
2017-08-07,09:30:00,股票,浩物股份(000757.XSHE),买,市价单,162700股,6.74,1096598,162700股,-,0,328.98,全部成交,2017-08-07 09:30:00
2017-08-28,09:30:00,股票,创兴资源(600193.XSHG),卖,市价单,-161500股,8.17,-1319455,-161500股,-,200260,1715.29,全部成交,2017-08-28 09:30:00
2017-08-28,09:30:00,股票,浩物股份(000757.XSHE),卖,市价单,-162700股,7.38,-1200726,-162700股,-,104128,1560.94,全部成交,2017-08-28 09:30:00
2017-08-28,09:30:00,股票,茂硕电源(002660.XSHE),买,市价单,135800股,9.28,1260224,135800股,-,0,378.07,全部成交,2017-08-28 09:30:00
2017-08-28,09:30:00,股票,世名科技(300522.XSHE),买,市价单,45700股,27.44,1254008,45700股,-,0,376.2,全部成交,2017-08-28 09:30:00
