日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2022-07-21,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,159600股,0.861,137415.6,159600股,-,0,20.61,全部成交,2022-07-21 09:30:00
2022-09-01,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-159600股,0.859,-137096.4,-159600股,-,-319.2,20.56,全部成交,2022-09-01 09:30:00
2022-09-01,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,36600股,3.737,136774.2,36600股,-,0,20.52,全部成交,2022-09-01 09:30:00
2022-09-14,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-36600股,3.766,-137835.6,-36600股,-,1061.4,20.68,全部成交,2022-09-14 09:30:00
2022-09-14,09:30:00,基金,50ETF(510050.XSHG),买,市价单,49600股,2.783,138036.8,49600股,-,0,20.71,全部成交,2022-09-14 09:30:00
2022-09-16,09:30:00,基金,50ETF(510050.XSHG),卖,市价单,-49600股,2.774,-137590.4,-49600股,-,-446.4,20.64,全部成交,2022-09-16 09:30:00
2022-09-16,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,36900股,3.728,137563.2,36900股,-,0,20.63,全部成交,2022-09-16 09:30:00
2022-11-03,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-36900股,3.807,-140478.3,-36900股,-,2915.1,21.07,全部成交,2022-11-03 09:30:00
2022-11-03,09:30:00,基金,创业板ETF易方达(159915.XSHE),买,市价单,61500股,2.283,140404.5,61500股,-,0,21.06,全部成交,2022-11-03 09:30:00
2022-11-14,09:30:00,基金,创业板ETF易方达(159915.XSHE),卖,市价单,-61500股,2.333,-143479.5,-61500股,-,3075,21.52,全部成交,2022-11-14 09:30:00
2022-11-14,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,167600股,0.856,143465.6,167600股,-,0,21.52,全部成交,2022-11-14 09:30:00
2022-11-22,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-167600股,0.846,-141789.6,-167600股,-,-1676,21.27,全部成交,2022-11-22 09:30:00
2022-11-22,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,36000股,3.936,141696,36000股,-,0,21.25,全部成交,2022-11-22 09:30:00
2022-11-24,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-36000股,3.955,-142380,-36000股,-,684,21.36,全部成交,2022-11-24 09:30:00
2022-11-24,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,165000股,0.863,142395,165000股,-,0,21.36,全部成交,2022-11-24 09:30:00
2022-11-28,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-165000股,0.858,-141570,-165000股,-,-825,21.24,全部成交,2022-11-28 09:30:00
2022-11-28,09:30:00,基金,50ETF(510050.XSHG),买,市价单,55800股,2.537,141564.6,55800股,-,0,21.23,全部成交,2022-11-28 09:30:00
2023-01-10,09:30:00,基金,50ETF(510050.XSHG),卖,市价单,-55800股,2.75,-153450,-55800股,-,13950,23.02,全部成交,2023-01-10 09:30:00
2023-01-10,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,38800股,4.003,155316.4,38800股,-,0,23.3,全部成交,2023-01-10 09:30:00
2023-01-16,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-38800股,4.058,-157450.4,-38800股,-,2134,23.62,全部成交,2023-01-16 09:30:00
2023-01-16,09:30:00,基金,50ETF(510050.XSHG),买,市价单,56200股,2.801,157416.2,56200股,-,0,23.61,全部成交,2023-01-16 09:30:00
2023-01-18,09:30:00,基金,50ETF(510050.XSHG),卖,市价单,-56200股,2.839,-159551.8,-56200股,-,2135.6,23.93,全部成交,2023-01-18 09:30:00
2023-01-18,09:30:00,基金,创业板ETF易方达(159915.XSHE),买,市价单,64400股,2.479,159647.6,64400股,-,0,23.95,全部成交,2023-01-18 09:30:00
2023-02-09,09:30:00,基金,创业板ETF易方达(159915.XSHE),卖,市价单,-64400股,2.444,-157393.6,-64400股,-,-2254,23.61,全部成交,2023-02-09 09:30:00
2023-02-09,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,180600股,0.871,157302.6,180600股,-,0,23.6,全部成交,2023-02-09 09:30:00
2023-02-10,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-180600股,0.863,-155857.8,-180600股,-,-1444.8,23.38,全部成交,2023-02-10 09:30:00
2023-02-10,09:30:00,基金,创业板ETF易方达(159915.XSHE),买,市价单,62500股,2.493,155812.5,62500股,-,0,23.37,全部成交,2023-02-10 09:30:00
2023-02-15,09:30:00,基金,创业板ETF易方达(159915.XSHE),卖,市价单,-62500股,2.488,-155500,-62500股,-,-312.5,23.32,全部成交,2023-02-15 09:30:00
2023-02-15,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,177700股,0.875,155487.5,177700股,-,0,23.32,全部成交,2023-02-15 09:30:00
2023-03-10,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-177700股,0.851,-151222.7,-177700股,-,-4264.8,22.68,全部成交,2023-03-10 09:30:00
2023-03-10,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,37200股,4.059,150994.8,37200股,-,0,22.65,全部成交,2023-03-10 09:30:00
