"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2017年6月12日","1,775.55","1,787.56","1,787.56","1,773.53","816.92M","-1.15%"
"2017年6月9日","1,796.13","1,793.65","1,797.64","1,782.18","882.88M","0.08%"
"2017年6月8日","1,794.75","1,798.69","1,804.66","1,792.10","1.05B","-0.28%"
"2017年6月7日","1,799.85","1,764.96","1,802.52","1,762.73","1.30B","1.89%"
"2017年6月6日","1,766.39","1,759.29","1,773.07","1,758.32","825.11M","0.29%"
"2017年6月5日","1,761.25","1,747.53","1,767.29","1,747.53","1.00B","0.88%"
"2017年6月2日","1,745.93","1,721.40","1,754.21","1,711.82","1.04B","1.01%"
"2017年6月1日","1,728.49","1,757.80","1,757.89","1,728.49","968.66M","-2.00%"
"2017年5月31日","1,763.73","1,777.65","1,783.15","1,762.08","1.08B","0.23%"
"2017年5月26日","1,759.63","1,769.12","1,772.93","1,754.77","982.32M","-1.02%"
"2017年5月25日","1,777.69","1,770.65","1,785.67","1,745.23","1.13B","0.08%"
"2017年5月24日","1,776.28","1,749.16","1,776.44","1,730.36","967.36M","1.03%"
"2017年5月23日","1,758.23","1,784.53","1,790.11","1,757.37","1.07B","-1.67%"
"2017年5月22日","1,788.08","1,798.56","1,814.41","1,779.47","933.11M","-0.72%"
"2017年5月19日","1,801.08","1,812.73","1,815.81","1,793.04","867.67M","-0.69%"
"2017年5月18日","1,813.51","1,807.18","1,827.78","1,803.86","1.15B","-0.50%"
"2017年5月17日","1,822.64","1,812.71","1,833.87","1,810.21","1.44B","0.42%"
"2017年5月16日","1,814.94","1,774.39","1,814.94","1,764.29","1.20B","2.04%"
"2017年5月15日","1,778.64","1,778.18","1,788.56","1,776.01","830.87M","0.23%"
"2017年5月12日","1,774.63","1,768.30","1,774.90","1,750.40","902.55M","0.13%"
"2017年5月11日","1,772.41","1,761.47","1,772.47","1,727.58","1.16B","0.06%"
"2017年5月10日","1,771.32","1,801.78","1,815.83","1,771.32","1.02B","-1.73%"
"2017年5月9日","1,802.49","1,780.52","1,803.21","1,770.59","955.68M","0.77%"
"2017年5月8日","1,788.71","1,814.10","1,825.76","1,788.71","1.06B","-1.62%"
"2017年5月5日","1,818.19","1,832.68","1,839.65","1,818.19","944.53M","-1.08%"
"2017年5月4日","1,838.10","1,838.71","1,858.56","1,828.63","1.08B","-0.13%"
"2017年5月3日","1,840.45","1,848.71","1,854.68","1,832.56","936.81M","-0.56%"
"2017年5月2日","1,850.85","1,849.22","1,855.34","1,843.83","895.85M","0.01%"
"2017年4月28日","1,850.73","1,838.74","1,856.40","1,834.43","1.03B","0.42%"
"2017年4月27日","1,842.92","1,815.11","1,847.93","1,794.40","1.46B","1.23%"
"2017年4月26日","1,820.48","1,812.86","1,822.12","1,811.04","917.66M","0.09%"
"2017年4月25日","1,818.87","1,809.56","1,829.26","1,807.67","849.44M","0.50%"
"2017年4月24日","1,809.91","1,832.82","1,832.82","1,796.36","880.17M","-1.58%"
"2017年4月21日","1,839.01","1,849.28","1,863.58","1,836.52","809.85M","-0.62%"
"2017年4月20日","1,850.39","1,843.97","1,856.73","1,836.44","918.99M","0.27%"
"2017年4月19日","1,845.38","1,841.60","1,845.64","1,812.39","1.10B","-0.15%"
"2017年4月18日","1,848.20","1,867.58","1,878.10","1,847.20","895.50M","-1.07%"
"2017年4月17日","1,868.28","1,880.77","1,886.61","1,862.36","896.85M","-1.02%"
"2017年4月14日","1,887.46","1,910.99","1,910.99","1,887.35","980.75M","-1.20%"
"2017年4月13日","1,910.48","1,896.49","1,920.23","1,896.49","909.60M","0.68%"
"2017年4月12日","1,897.51","1,913.78","1,915.02","1,896.85","1.14B","-1.05%"
"2017年4月11日","1,917.63","1,907.10","1,920.78","1,887.89","1.50B","0.27%"
"2017年4月10日","1,912.45","1,940.30","1,940.30","1,911.11","1.43B","-1.73%"
"2017年4月7日","1,946.05","1,942.11","1,953.57","1,939.32","1.25B","0.09%"
"2017年4月6日","1,944.23","1,947.09","1,951.23","1,939.37","1.06B","0.06%"
"2017年4月5日","1,943.16","1,914.91","1,943.43","1,914.91","1.11B","1.88%"
"2017年3月31日","1,907.34","1,895.81","1,908.53","1,895.81","748.63M","0.72%"
"2017年3月30日","1,893.70","1,924.51","1,926.53","1,893.30","1.05B","-1.84%"
"2017年3月29日","1,929.20","1,945.14","1,948.72","1,926.60","879.25M","-0.78%"
"2017年3月28日","1,944.36","1,946.33","1,953.24","1,940.38","689.33M","-0.16%"
"2017年3月27日","1,947.53","1,964.62","1,967.11","1,947.53","813.73M","-0.90%"
"2017年3月24日","1,965.14","1,948.27","1,966.42","1,946.12","901.17M","0.86%"
"2017年3月23日","1,948.37","1,951.87","1,960.34","1,930.44","936.20M","-0.01%"
"2017年3月22日","1,948.58","1,952.80","1,959.71","1,939.29","955.14M","-0.64%"
"2017年3月21日","1,961.06","1,953.56","1,961.65","1,948.89","776.06M","0.37%"
"2017年3月20日","1,953.82","1,948.60","1,953.82","1,939.65","868.88M","0.21%"
"2017年3月17日","1,949.66","1,968.15","1,981.69","1,949.35","1.18B","-0.87%"
"2017年3月16日","1,966.73","1,959.05","1,968.43","1,959.05","971.71M","0.46%"
"2017年3月15日","1,957.82","1,951.71","1,964.43","1,943.61","1.01B","-0.01%"
"2017年3月14日","1,958.02","1,967.47","1,970.48","1,952.10","1.09B","-0.65%"
"2017年3月13日","1,970.88","1,948.52","1,972.08","1,939.03","1.00B","1.07%"
"2017年3月10日","1,950.01","1,952.50","1,957.71","1,945.57","784.02M","-0.20%"
"2017年3月9日","1,953.94","1,962.64","1,962.64","1,948.79","973.81M","-0.54%"
"2017年3月8日","1,964.63","1,976.85","1,976.85","1,960.07","932.63M","-0.67%"
"2017年3月7日","1,977.85","1,967.18","1,977.85","1,957.29","1.13B","0.77%"
"2017年3月6日","1,962.77","1,931.62","1,962.77","1,931.62","1.17B","1.79%"
"2017年3月3日","1,928.29","1,916.20","1,932.21","1,908.32","817.31M","0.41%"
"2017年3月2日","1,920.40","1,936.08","1,937.90","1,919.74","785.17M","-0.60%"
"2017年3月1日","1,931.97","1,925.70","1,938.68","1,923.75","814.46M","0.25%"
"2017年2月28日","1,927.16","1,926.14","1,931.82","1,918.32","782.84M","0.02%"
"2017年2月27日","1,926.77","1,937.56","1,943.98","1,923.53","941.85M","-0.60%"
"2017年2月24日","1,938.44","1,925.10","1,939.39","1,921.30","1.05B","0.65%"
"2017年2月23日","1,925.95","1,919.24","1,925.95","1,906.81","923.16M","0.31%"
"2017年2月22日","1,919.97","1,921.55","1,925.30","1,909.12","858.21M","-0.06%"
"2017年2月21日","1,921.08","1,896.86","1,924.03","1,895.43","1.03B","1.38%"
"2017年2月20日","1,894.96","1,884.99","1,894.96","1,876.67","722.72M","0.64%"
"2017年2月17日","1,882.87","1,896.70","1,904.87","1,881.00","776.29M","-0.78%"
"2017年2月16日","1,897.63","1,891.87","1,900.97","1,886.41","681.18M","0.28%"
"2017年2月15日","1,892.36","1,911.04","1,920.29","1,890.09","841.61M","-0.89%"
"2017年2月14日","1,909.40","1,914.14","1,918.79","1,906.41","743.62M","-0.22%"
"2017年2月13日","1,913.68","1,902.46","1,919.20","1,894.15","864.37M","0.47%"
"2017年2月10日","1,904.68","1,913.23","1,915.43","1,900.71","829.94M","-0.49%"
"2017年2月9日","1,914.08","1,903.67","1,916.41","1,901.88","866.82M","0.55%"
"2017年2月8日","1,903.63","1,887.34","1,903.63","1,881.14","738.12M","0.77%"
"2017年2月7日","1,889.13","1,897.87","1,900.35","1,881.73","632.91M","-0.60%"
"2017年2月6日","1,900.45","1,877.14","1,903.33","1,874.71","658.15M","1.26%"
"2017年2月3日","1,876.76","1,886.97","1,888.81","1,872.70","538.42M","-0.50%"
"2017年1月26日","1,886.23","1,872.14","1,887.67","1,872.14","610.41M","0.83%"
"2017年1月25日","1,870.70","1,857.32","1,874.63","1,856.22","567.29M","0.51%"
"2017年1月24日","1,861.22","1,885.24","1,885.95","1,859.71","757.70M","-1.38%"
"2017年1月23日","1,887.32","1,879.97","1,897.10","1,879.71","723.58M","0.35%"
"2017年1月20日","1,880.75","1,844.37","1,892.36","1,842.62","989.39M","1.99%"
"2017年1月19日","1,844.14","1,842.66","1,853.11","1,833.50","525.98M","-0.09%"
"2017年1月18日","1,845.79","1,860.24","1,862.83","1,845.57","712.05M","-1.18%"
"2017年1月17日","1,867.87","1,824.10","1,875.80","1,805.39","1.07B","2.02%"
"2017年1月16日","1,830.85","1,897.45","1,897.82","1,783.74","1.18B","-3.64%"
"2017年1月13日","1,899.94","1,930.11","1,934.48","1,899.11","745.87M","-1.56%"
"2017年1月12日","1,930.14","1,935.52","1,946.59","1,929.05","674.48M","-0.38%"
"2017年1月11日","1,937.55","1,947.42","1,959.30","1,932.46","714.10M","-0.72%"
"2017年1月10日","1,951.68","1,960.10","1,967.47","1,951.18","631.86M","-0.51%"
"2017年1月9日","1,961.62","1,962.20","1,968.87","1,951.49","712.73M","-0.17%"
"2017年1月6日","1,965.03","1,980.84","1,982.40","1,963.32","796.88M","-0.95%"
"2017年1月5日","1,983.97","1,990.70","1,993.71","1,983.84","766.45M","-0.38%"
"2017年1月4日","1,991.57","1,963.02","1,992.76","1,959.57","996.68M","1.44%"
"2017年1月3日","1,963.26","1,965.04","1,971.91","1,959.14","732.80M","0.06%"
"2016年12月30日","1,962.06","1,961.22","1,964.70","1,952.68","725.66M","0.14%"
"2016年12月29日","1,959.24","1,956.72","1,971.94","1,955.62","675.99M","0.11%"
"2016年12月28日","1,957.15","1,968.15","1,971.51","1,954.96","600.57M","-0.58%"
"2016年12月27日","1,968.62","1,972.51","1,977.31","1,968.57","634.78M","-0.27%"
"2016年12月26日","1,974.01","1,959.19","1,974.01","1,933.52","770.84M","0.48%"
"2016年12月23日","1,964.54","1,987.73","1,992.21","1,964.23","719.52M","-1.09%"
"2016年12月22日","1,986.27","1,993.04","1,993.04","1,978.74","582.01M","-0.27%"
"2016年12月21日","1,991.70","1,987.76","1,996.10","1,985.05","604.32M","0.47%"
"2016年12月20日","1,982.30","1,981.69","1,989.99","1,974.93","593.91M","0.10%"
