trade_date,natural_days_to_10pct_close_move,breach_date,breach_close
2008-08-26,18,2008-09-12,1836.74
2008-08-27,16,2008-09-11,1838.23
2008-08-28,15,2008-09-11,1838.23
2008-08-29,11,2008-09-08,1847.39
2008-09-01,11,2008-09-11,1838.23
2008-09-02,7,2008-09-08,1847.39
2008-09-03,6,2008-09-08,1847.39
2008-09-04,5,2008-09-08,1847.39
2008-09-05,14,2008-09-18,1710.75
2008-09-08,33,2008-10-10,1646.93
2008-09-09,32,2008-10-10,1646.93
2008-09-10,31,2008-10-10,1646.93
2008-09-11,30,2008-10-10,1646.93
2008-09-12,29,2008-10-10,1646.93
2008-09-16,30,2008-10-15,1615.78
2008-09-17,6,2008-09-22,1963.30
2008-09-18,5,2008-09-22,1963.30
2008-09-19,22,2008-10-10,1646.93
2008-09-22,19,2008-10-10,1646.93
2008-09-23,18,2008-10-10,1646.93
2008-09-24,17,2008-10-10,1646.93
2008-09-25,16,2008-10-10,1646.93
2008-09-26,15,2008-10-10,1646.93
2008-10-06,5,2008-10-10,1646.93
2008-10-07,4,2008-10-10,1646.93
2008-10-08,8,2008-10-15,1615.78
2008-10-09,8,2008-10-16,1524.32
2008-10-10,18,2008-10-27,1452.94
2008-10-13,15,2008-10-27,1452.94
2008-10-14,14,2008-10-27,1452.94
2008-10-15,13,2008-10-27,1452.94
2008-10-16,30,2008-11-14,1737.47
2008-10-17,18,2008-11-03,1388.38
2008-10-20,10,2008-10-29,1426.08
2008-10-21,9,2008-10-29,1426.08
2008-10-22,10,2008-10-31,1406.76
2008-10-23,7,2008-10-29,1426.08
2008-10-24,8,2008-10-31,1406.76
2008-10-27,18,2008-11-13,1652.16
2008-10-28,17,2008-11-13,1652.16
2008-10-29,15,2008-11-12,1580.05
2008-10-30,15,2008-11-13,1652.16
2008-10-31,13,2008-11-12,1580.05
2008-11-03,8,2008-11-10,1541.30
2008-11-04,7,2008-11-10,1541.30
2008-11-05,8,2008-11-12,1580.05
2008-11-06,7,2008-11-12,1580.05
2008-11-07,6,2008-11-12,1580.05
2008-11-10,5,2008-11-14,1737.47
2008-11-11,4,2008-11-14,1737.47
2008-11-12,6,2008-11-17,1827.97
2008-11-13,5,2008-11-17,1827.97
2008-11-14,20,2008-12-03,1912.76
2008-11-17,22,2008-12-08,2054.21
2008-11-18,16,2008-12-03,1912.76
2008-11-19,20,2008-12-08,2054.21
2008-11-20,19,2008-12-08,2054.21
2008-11-21,18,2008-12-08,2054.21
2008-11-24,10,2008-12-03,1912.76
2008-11-25,9,2008-12-03,1912.76
2008-11-26,8,2008-12-03,1912.76
2008-11-27,7,2008-12-03,1912.76
2008-11-28,6,2008-12-03,1912.76
2008-12-01,8,2008-12-08,2054.21
2008-12-02,7,2008-12-08,2054.21
2008-12-03,49,2009-01-20,2111.39
2008-12-04,48,2009-01-20,2111.39
2008-12-05,60,2009-02-02,2193.69
2008-12-08,24,2008-12-31,1830.82
2008-12-09,57,2009-02-03,2254.41
2008-12-10,22,2008-12-31,1830.82
2008-12-11,55,2009-02-03,2254.41
2008-12-12,40,2009-01-20,2111.39
2008-12-15,50,2009-02-02,2193.69
2008-12-16,49,2009-02-02,2193.69
2008-12-17,49,2009-02-03,2254.41
2008-12-18,14,2008-12-31,1830.82
2008-12-19,13,2008-12-31,1830.82
2008-12-22,9,2008-12-30,1865.96
2008-12-23,31,2009-01-22,2140.16
2008-12-24,24,2009-01-16,2090.02
2008-12-25,23,2009-01-16,2090.02
2008-12-26,21,2009-01-15,2079.86
