trade_date,open,high,low,close
2023-10-16,890.48,890.94,870.61,874.03
2023-10-17,874.28,884.91,871.79,882.19
2023-10-18,884.71,884.93,869.45,869.76
2023-10-19,864.46,879.55,864.06,870.10
2023-10-20,865.78,872.80,861.08,861.81
2023-10-23,857.48,859.99,836.64,840.14
2023-10-24,844.09,858.29,839.08,850.61
2023-10-25,859.77,862.20,848.65,848.65
2023-10-26,841.99,850.99,837.47,849.31
2023-10-27,843.88,866.54,842.60,861.85
2023-10-30,862.12,881.88,860.40,878.13
2023-10-31,882.43,882.56,869.02,874.41
2023-11-01,874.04,878.33,868.45,869.92
2023-11-02,871.55,875.26,859.89,859.93
2023-11-03,861.54,877.09,861.54,875.37
2023-11-06,880.60,891.56,880.60,890.21
2023-11-07,887.20,892.99,883.75,891.46
2023-11-08,890.87,905.94,889.89,899.63
2023-11-09,897.93,904.59,891.49,893.80
2023-11-10,888.99,894.63,885.30,889.75
2023-11-13,893.50,897.11,888.55,896.55
2023-11-14,895.81,904.71,893.28,904.34
2023-11-15,912.63,913.20,900.62,902.18
2023-11-16,898.74,900.15,886.77,887.11
2023-11-17,886.67,891.95,884.51,891.38
2023-11-20,890.90,896.07,883.03,892.63
2023-11-21,892.92,896.96,884.60,884.89
2023-11-22,881.96,884.71,870.76,870.76
2023-11-23,869.85,878.45,866.63,877.77
2023-11-24,875.58,876.26,863.85,864.77
2023-11-27,864.27,869.87,861.38,868.03
2023-11-28,868.81,873.66,863.81,871.91
2023-11-29,870.40,872.90,862.04,862.04
2023-11-30,861.51,865.68,857.63,865.68
2023-12-01,863.33,869.82,856.44,867.54
2023-12-04,867.83,873.51,861.92,861.92
2023-12-05,859.49,859.49,845.60,845.80
2023-12-06,843.82,852.31,842.59,848.79
2023-12-07,847.10,850.08,839.03,847.48
2023-12-08,849.16,868.23,847.93,868.23
2023-12-11,859.97,880.03,854.81,878.52
2023-12-12,876.69,877.83,866.84,869.97
2023-12-13,868.87,875.19,861.03,861.25
2023-12-14,865.09,869.29,855.43,855.90
2023-12-15,857.01,859.25,846.82,847.51
2023-12-18,845.54,847.59,838.32,840.68
2023-12-19,839.64,850.41,838.21,845.86
2023-12-20,847.27,847.59,835.31,835.71
2023-12-21,832.37,850.99,831.93,847.82
2023-12-22,846.67,851.48,839.79,843.32
2023-12-25,840.38,845.56,834.43,837.22
2023-12-26,836.53,836.66,822.44,825.26
2023-12-27,826.83,833.81,826.17,830.06
2023-12-28,828.40,853.49,828.34,850.39
2023-12-29,849.61,854.88,848.33,852.00
2024-01-02,850.97,850.97,839.80,839.80
2024-01-03,838.30,842.20,827.18,829.77
2024-01-04,831.23,831.55,817.75,823.85
2024-01-05,820.40,825.94,803.40,807.73
2024-01-08,802.90,804.60,783.74,784.43
2024-01-09,786.48,793.60,777.56,782.93
2024-01-10,779.08,790.36,771.58,777.15
2024-01-11,775.37,793.14,775.18,789.86
2024-01-12,788.03,790.38,778.11,778.36
2024-01-15,774.96,784.19,770.98,773.41
2024-01-16,771.84,777.53,765.43,777.40
2024-01-17,775.86,776.23,757.04,757.04
2024-01-18,752.29,769.12,741.34,768.28
2024-01-19,767.24,773.15,762.26,765.47
2024-01-22,763.60,764.62,735.41,742.23
2024-01-23,738.38,754.65,733.48,749.74
2024-01-24,753.01,754.22,728.37,750.27
2024-01-25,749.13,768.02,742.93,765.79
2024-01-26,759.94,762.18,742.93,746.10
2024-01-29,748.26,754.59,725.31,725.31
2024-01-30,720.19,722.63,696.56,697.85
2024-01-31,693.85,699.67,681.38,684.85
2024-02-01,680.72,704.66,678.97,690.01
2024-02-02,693.02,694.75,653.62,673.41
2024-02-05,675.40,687.62,635.74,676.79
2024-02-06,675.45,721.38,665.63,720.80
2024-02-07,723.31,744.34,717.70,743.42
2024-02-08,749.64,767.86,745.24,751.50
2024-02-19,762.64,763.36,748.29,763.32
2024-02-20,756.08,758.06,748.60,754.70
2024-02-21,747.25,769.15,744.26,755.16
2024-02-22,757.26,768.66,755.90,762.38
2024-02-23,768.51,769.81,754.35,764.48
2024-02-26,764.03,776.98,761.22,768.49
2024-02-27,763.66,797.15,761.26,796.91
2024-02-28,797.83,811.65,771.59,771.59
