"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2014年2月28日","3,975.93","3,926.77","3,976.13","3,874.72","46.60K","1.05%"
"2014年2月27日","3,934.73","3,992.72","4,053.85","3,932.31","54.51K","-1.32%"
"2014年2月26日","3,987.48","3,941.12","3,988.06","3,883.96","48.86K","0.66%"
"2014年2月25日","3,961.44","4,109.49","4,141.26","3,937.17","65.67K","-3.52%"
"2014年2月24日","4,105.79","4,102.56","4,105.79","4,043.51","51.24K","-0.39%"
"2014年2月21日","4,121.92","4,142.30","4,156.79","4,085.82","48.02K","-0.65%"
"2014年2月20日","4,149.07","4,211.70","4,221.63","4,139.20","62.56K","-1.40%"
"2014年2月19日","4,207.99","4,206.02","4,232.88","4,180.91","61.22K","0.01%"
"2014年2月18日","4,207.70","4,216.61","4,219.03","4,188.07","63.91K","-0.12%"
"2014年2月17日","4,212.74","4,152.04","4,213.14","4,152.04","62.47K","1.90%"
"2014年2月14日","4,134.16","4,063.79","4,134.23","4,060.09","50.63K","1.72%"
"2014年2月13日","4,064.42","4,123.22","4,137.59","4,064.42","61.05K","-1.48%"
"2014年2月12日","4,125.41","4,083.82","4,125.71","4,064.35","59.04K","1.10%"
"2014年2月11日","4,080.38","4,081.54","4,099.77","4,031.95","61.88K","0.14%"
"2014年2月10日","4,074.63","3,972.86","4,074.63","3,972.86","57.76K","2.96%"
"2014年2月7日","3,957.67","3,864.89","3,957.93","3,854.98","34.04K","1.86%"
"2014年1月30日","3,885.42","3,900.01","3,908.61","3,877.57","28.55K","-0.59%"
"2014年1月29日","3,908.45","3,878.31","3,913.12","3,878.31","33.01K","0.89%"
"2014年1月28日","3,873.81","3,882.01","3,906.57","3,847.03","31.95K","-0.21%"
"2014年1月27日","3,881.95","3,867.57","3,916.67","3,854.87","42.64K","-0.02%"
"2014年1月24日","3,882.67","3,817.08","3,890.53","3,811.14","45.79K","1.49%"
"2014年1月23日","3,825.49","3,801.75","3,841.03","3,795.48","40.71K","0.70%"
"2014年1月22日","3,799.04","3,707.08","3,799.06","3,707.03","41.85K","2.67%"
"2014年1月21日","3,700.11","3,645.34","3,700.59","3,645.34","28.50K","1.54%"
"2014年1月20日","3,644.12","3,666.30","3,680.01","3,627.65","23.81K","-0.76%"
"2014年1月17日","3,671.91","3,704.36","3,704.96","3,669.59","25.33K","-1.14%"
"2014年1月16日","3,714.31","3,709.38","3,738.08","3,703.19","29.58K","0.17%"
"2014年1月15日","3,708.14","3,681.04","3,708.54","3,675.64","29.48K","0.67%"
"2014年1月14日","3,683.53","3,610.64","3,683.53","3,601.99","28.57K","1.98%"
"2014年1月13日","3,612.02","3,628.53","3,657.69","3,588.74","27.84K","-0.46%"
"2014年1月10日","3,628.63","3,685.02","3,689.19","3,619.68","31.39K","-1.82%"
"2014年1月9日","3,696.02","3,732.86","3,768.62","3,693.64","33.35K","-1.13%"
"2014年1月8日","3,738.20","3,735.50","3,768.50","3,726.11","31.94K","0.12%"
"2014年1月7日","3,733.66","3,699.90","3,740.72","3,688.42","27.21K","0.61%"
"2014年1月6日","3,710.90","3,806.58","3,806.58","3,709.91","34.51K","-2.76%"
"2014年1月3日","3,816.32","3,841.22","3,843.36","3,802.99","34.82K","-0.82%"
"2014年1月2日","3,847.88","3,823.32","3,848.25","3,813.81","30.80K","0.49%"
"2013年12月31日","3,829.10","3,805.70","3,829.80","3,789.82","29.28K","0.42%"
"2013年12月30日","3,813.00","3,815.68","3,828.97","3,803.79","31.65K","0.32%"
"2013年12月27日","3,800.77","3,737.65","3,809.47","3,734.65","32.22K","1.54%"
"2013年12月26日","3,743.13","3,809.50","3,809.50","3,741.61","33.12K","-1.72%"
"2013年12月25日","3,808.45","3,766.20","3,808.46","3,756.71","26.95K","1.05%"
"2013年12月24日","3,768.70","3,746.65","3,799.77","3,738.76","28.61K","0.69%"
"2013年12月23日","3,742.74","3,745.94","3,757.39","3,687.40","26.69K","-0.11%"
"2013年12月20日","3,747.00","3,792.68","3,807.55","3,736.40","29.20K","-1.27%"
"2013年12月19日","3,795.02","3,840.28","3,859.22","3,793.40","28.18K","-1.02%"
"2013年12月18日","3,834.04","3,836.02","3,855.36","3,819.07","26.98K","0.00%"
"2013年12月17日","3,834.03","3,854.78","3,867.78","3,824.97","31.88K","-0.61%"
"2013年12月16日","3,857.71","3,929.38","3,932.60","3,854.47","41.05K","-1.73%"
"2013年12月13日","3,925.43","3,901.99","3,932.89","3,886.97","35.90K","0.22%"
"2013年12月12日","3,916.96","3,903.45","3,943.03","3,900.95","39.09K","0.26%"
"2013年12月11日","3,906.78","3,941.90","3,941.90","3,878.33","46.19K","-1.11%"
"2013年12月10日","3,950.49","3,948.57","3,965.16","3,930.00","45.88K","0.07%"
"2013年12月9日","3,947.70","3,928.16","3,948.06","3,924.81","40.11K","0.74%"
"2013年12月6日","3,918.78","3,924.64","3,941.54","3,906.80","42.82K","-0.25%"
"2013年12月5日","3,928.72","3,931.14","3,944.70","3,911.27","49.52K","-0.11%"
"2013年12月4日","3,933.00","3,856.35","3,959.11","3,852.47","64.14K","1.89%"
"2013年12月3日","3,859.96","3,755.19","3,861.16","3,750.96","46.94K","2.36%"
"2013年12月2日","3,770.86","3,870.03","3,905.68","3,737.32","66.78K","-4.45%"
"2013年11月29日","3,946.38","3,924.42","3,947.91","3,919.73","48.47K","0.60%"
"2013年11月28日","3,922.67","3,897.25","3,945.53","3,895.11","55.45K","0.85%"
"2013年11月27日","3,889.76","3,843.65","3,890.05","3,837.14","47.22K","1.15%"
"2013年11月26日","3,845.68","3,837.87","3,855.97","3,822.13","42.95K","0.16%"
"2013年11月25日","3,839.60","3,834.81","3,874.10","3,824.65","46.44K","-0.08%"
"2013年11月22日","3,842.76","3,868.50","3,880.72","3,835.92","49.02K","-0.59%"
"2013年11月21日","3,865.41","3,865.57","3,878.24","3,838.54","53.99K","-0.34%"
"2013年11月20日","3,878.58","3,842.25","3,878.70","3,827.38","48.58K","1.00%"
"2013年11月19日","3,840.37","3,830.45","3,851.57","3,814.52","50.88K","0.33%"
"2013年11月18日","3,827.88","3,759.12","3,828.02","3,755.50","56.26K","2.45%"
"2013年11月15日","3,736.45","3,661.28","3,766.36","3,661.28","48.83K","2.09%"
"2013年11月14日","3,659.83","3,602.85","3,660.04","3,575.84","33.11K","1.33%"
"2013年11月13日","3,611.76","3,677.35","3,677.35","3,611.76","32.96K","-1.87%"
"2013年11月12日","3,680.54","3,645.37","3,681.07","3,634.87","30.06K","0.95%"
"2013年11月11日","3,645.84","3,626.19","3,659.66","3,600.08","27.36K","0.44%"
"2013年11月8日","3,629.94","3,670.35","3,678.23","3,618.93","34.95K","-1.50%"
"2013年11月7日","3,685.04","3,722.24","3,734.86","3,677.53","34.82K","-1.39%"
"2013年11月6日","3,737.11","3,768.73","3,799.83","3,737.11","45.10K","-1.07%"
"2013年11月5日","3,777.40","3,719.94","3,777.63","3,688.21","39.50K","1.32%"
"2013年11月4日","3,728.19","3,705.45","3,744.59","3,705.43","32.85K","0.70%"
"2013年11月1日","3,702.45","3,698.47","3,720.44","3,661.74","33.39K","-0.31%"
"2013年10月31日","3,713.83","3,757.81","3,757.81","3,710.69","41.79K","-1.34%"
"2013年10月30日","3,764.45","3,694.31","3,764.60","3,688.39","41.55K","1.64%"
"2013年10月29日","3,703.86","3,801.93","3,827.12","3,600.43","55.74K","-2.75%"
"2013年10月28日","3,808.70","3,820.67","3,828.72","3,785.91","39.57K","-0.34%"
"2013年10月25日","3,821.78","3,902.23","3,916.92","3,796.07","49.91K","-1.96%"
"2013年10月24日","3,898.16","3,914.24","3,933.73","3,889.34","44.94K","-0.66%"
"2013年10月23日","3,924.22","4,026.56","4,039.42","3,906.51","67.71K","-2.54%"
"2013年10月22日","4,026.52","4,070.66","4,089.10","4,014.27","73.65K","-1.04%"
"2013年10月21日","4,069.03","3,977.26","4,069.22","3,968.39","66.06K","2.48%"
"2013年10月18日","3,970.64","3,954.58","3,978.34","3,937.24","50.78K","0.35%"
"2013年10月17日","3,956.96","3,980.47","4,010.62","3,944.97","66.32K","-0.16%"
"2013年10月16日","3,963.21","4,063.82","4,063.82","3,941.59","77.84K","-2.72%"
"2013年10月15日","4,074.08","4,074.83","4,080.11","4,043.79","75.67K","0.14%"
"2013年10月14日","4,068.32","4,034.19","4,069.78","4,024.59","74.69K","1.03%"
"2013年10月11日","4,026.92","3,975.11","4,027.32","3,975.11","72.02K","1.70%"
"2013年10月10日","3,959.63","3,990.78","4,000.49","3,947.84","69.81K","-0.54%"
"2013年10月9日","3,981.06","3,928.40","3,981.45","3,915.73","60.21K","1.09%"
"2013年10月8日","3,938.07","3,875.52","3,938.07","3,866.68","55.13K","1.68%"
"2013年9月30日","3,872.89","3,834.17","3,873.49","3,834.01","39.46K","1.31%"
"2013年9月27日","3,822.76","3,805.50","3,841.54","3,802.90","43.55K","0.38%"
"2013年9月26日","3,808.22","3,879.48","3,883.39","3,806.64","59.03K","-2.08%"
"2013年9月25日","3,889.22","3,899.61","3,930.60","3,881.60","70.19K","-0.37%"
"2013年9月24日","3,903.52","3,897.41","3,915.98","3,864.44","65.08K","0.10%"
"2013年9月23日","3,899.63","3,830.95","3,899.86","3,830.95","56.53K","2.03%"
"2013年9月18日","3,822.12","3,780.70","3,823.01","3,776.70","44.46K","0.95%"
"2013年9月17日","3,786.29","3,851.66","3,851.66","3,785.23","57.56K","-1.76%"
"2013年9月16日","3,854.21","3,852.36","3,870.73","3,836.41","55.68K","0.11%"
"2013年9月13日","3,849.82","3,846.45","3,858.43","3,825.18","64.87K","0.12%"
"2013年9月12日","3,845.07","3,824.75","3,857.52","3,815.74","67.27K","0.28%"
"2013年9月11日","3,834.26","3,876.59","3,876.77","3,814.28","88.03K","-0.95%"
"2013年9月10日","3,870.92","3,836.47","3,871.19","3,832.32","81.06K","1.02%"
"2013年9月9日","3,831.93","3,799.45","3,835.48","3,793.11","72.93K","1.03%"
"2013年9月6日","3,792.83","3,758.90","3,799.07","3,754.64","60.60K","0.80%"
"2013年9月5日","3,762.57","3,749.94","3,776.00","3,741.46","60.68K","0.20%"
"2013年9月4日","3,755.24","3,747.23","3,766.41","3,734.78","62.36K","0.28%"
"2013年9月3日","3,744.87","3,685.34","3,745.23","3,680.15","59.63K","1.49%"
"2013年9月2日","3,689.96","3,674.68","3,695.09","3,633.46","62.86K","0.70%"
"2013年8月30日","3,664.15","3,702.85","3,727.30","3,645.36","77.07K","-1.00%"
"2013年8月29日","3,701.08","3,703.05","3,715.85","3,679.08","62.94K","-0.08%"
"2013年8月28日","3,703.92","3,707.53","3,740.13","3,680.50","70.21K","-0.76%"
"2013年8月27日","3,732.10","3,702.58","3,732.22","3,691.16","57.47K","0.77%"
"2013年8月26日","3,703.59","3,629.36","3,703.79","3,627.31","53.52K","2.08%"
"2013年8月23日","3,627.97","3,644.68","3,654.73","3,560.13","54.84K","-0.23%"
"2013年8月22日","3,636.47","3,621.89","3,650.11","3,615.71","46.13K","0.25%"
"2013年8月21日","3,627.50","3,596.93","3,627.91","3,577.82","42.62K","0.77%"
"2013年8月20日","3,599.64","3,606.61","3,634.05","3,580.19","43.16K","-0.26%"
"2013年8月19日","3,609.03","3,528.91","3,609.17","3,522.15","38.47K","1.54%"
"2013年8月16日","3,554.35","3,611.28","3,688.69","3,550.82","53.64K","-2.12%"
