日期,收盘,开盘,高,低,交易量,涨跌幅
2013年5月9日,"1,807.86","1,825.38","1,826.97","1,794.42",1.94B,-0.91%
2013年5月8日,"1,824.38","1,826.43","1,842.13","1,814.96",2.11B,0.36%
2013年5月7日,"1,817.92","1,812.03","1,824.51","1,800.27",1.94B,0.07%
2013年5月6日,"1,816.60","1,804.89","1,826.19","1,801.36",2.20B,1.18%
2013年5月3日,"1,795.49","1,770.69","1,821.38","1,770.32",2.46B,1.84%
2013年5月2日,"1,763.05","1,758.38","1,766.14","1,745.57",1.79B,-0.17%
2013年4月26日,"1,766.04","1,786.64","1,793.95","1,760.22",1.67B,-0.69%
2013年4月25日,"1,778.29","1,786.86","1,800.56","1,762.17",2.06B,-0.87%
2013年4月24日,"1,793.88","1,764.03","1,809.13","1,755.44",2.24B,1.89%
2013年4月23日,"1,760.68","1,828.09","1,828.09","1,759.41",2.32B,-3.47%
2013年4月22日,"1,823.95","1,820.03","1,830.99","1,814.87",2.16B,-0.22%
2013年4月19日,"1,827.98","1,772.64","1,836.61","1,771.50",3.31B,3.38%
2013年4月18日,"1,768.15","1,745.94","1,772.61","1,740.26",1.75B,0.37%
2013年4月17日,"1,761.62","1,769.81","1,774.49","1,747.41",1.65B,-0.62%
2013年4月16日,"1,772.64","1,746.31","1,774.07","1,739.22",2.24B,0.73%
2013年4月15日,"1,759.80","1,768.21","1,777.14","1,754.70",1.74B,-0.83%
2013年4月12日,"1,774.50","1,783.09","1,794.34","1,773.50",1.44B,-0.54%
2013年4月11日,"1,784.13","1,802.51","1,808.29","1,782.90",1.62B,-0.21%
2013年4月10日,"1,787.93","1,787.74","1,794.22","1,775.61",1.72B,-0.04%
2013年4月9日,"1,788.63","1,776.83","1,800.57","1,776.83",1.98B,0.88%
2013年4月8日,"1,773.10","1,755.76","1,775.34","1,747.66",1.96B,-0.93%
